"id","id","category_id","attribute_key","attribute_value","language","created_at","updated_at","created_by","updated_by"
94,885,94,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Guardian. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2022-07-11 16:34:19","2022-07-11 16:34:19",CC Token,CC Token
94,889,94,meta_keywords,Kategori +1000 get 2,bahasa_indonesia,"2022-07-11 16:34:19","2022-08-16 10:39:26",CC Token,CC Token
94,887,94,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori +1000 get 2,bahasa_indonesia,"2022-07-11 16:34:19","2022-08-16 10:39:26",CC Token,CC Token
94,890,94,name,+1000 get 2,bahasa_indonesia,"2022-07-11 16:34:19","2022-08-15 09:17:04",CC Token,CC Token
94,888,94,name,+1000 get 2,english,"2022-07-11 16:34:19","2022-08-15 09:17:04",CC Token,CC Token
94,886,94,seo_url, ,bahasa_indonesia,"2022-07-11 16:34:19","2022-07-11 16:34:19",CC Token,CC Token
94,891,94,seo_url, ,english,"2022-07-11 16:55:32","2022-07-11 16:55:32",CC Token,CC Token
93,881,93,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Acne Skincare. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2022-05-20 11:02:56","2022-06-15 11:42:09",CC Token,CC Token
93,882,93,meta_keywords,Kategori Acne Treatment,bahasa_indonesia,"2022-05-20 11:02:56","2022-12-05 13:44:25",CC Token,CC Token
93,879,93,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Acne Treatment,bahasa_indonesia,"2022-05-20 11:02:56","2022-12-05 13:44:25",CC Token,CC Token
93,880,93,name,Acne Treatment,bahasa_indonesia,"2022-05-20 11:02:56","2022-12-05 13:44:25",CC Token,CC Token
93,878,93,name,Acne Treatment,english,"2022-05-20 11:02:56","2022-12-05 13:44:25",CC Token,CC Token
93,883,93,seo_url, ,bahasa_indonesia,"2022-05-20 11:02:56","2022-05-20 11:02:56",CC Token,CC Token
93,884,93,seo_url, ,english,"2022-05-20 11:08:17","2022-05-20 11:08:17",CC Token,CC Token
653,4370,653,blibli_category_ids,AK-1000195,bahasa_indonesia,"2023-09-29 13:52:11","2023-09-29 13:52:11",Dev,Dev
653,3833,653,meta_description,Temukan Produk Olahraga & Aktivitas Luar Ruang > Fitness > Aksesoris Fitness paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ? Order obat di Halodoc ? #TenangMenjaga,bahasa_indonesia,"2023-09-05 09:57:35","2023-09-05 09:57:35",Dev,Dev
653,3834,653,meta_keywords,Produk Olahraga & Aktivitas Luar Ruang > Fitness > Aksesoris Fitness Obat Perawatan Halodoc,bahasa_indonesia,"2023-09-05 09:57:35","2023-09-05 09:57:35",Dev,Dev
653,3835,653,name,Olahraga & Aktivitas Luar Ruang > Fitness > Aksesoris Fitness,bahasa_indonesia,"2023-09-05 09:57:35","2023-09-05 09:57:35",Dev,Dev
653,3832,653,name,Olahraga & Aktivitas Luar Ruang > Fitness > Aksesoris Fitness,english,"2023-09-05 09:57:35","2023-09-05 09:57:35",Dev,Dev
