"display_name","id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
Halodoc - B2B - Banjarmasin,200,25,time_span_allowed_for_cancellation,"24",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,201,25,time_span_allowed_for_reschedule,"24",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,202,25,transportation_fee_condition,false,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,203,25,time_span_allowed_for_cancellation_unit,HOURS,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,204,25,transportation_fee,"0",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,205,25,time_span_allowed_for_reschedule_unit,HOURS,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,206,25,min_cart_price,"0",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
Halodoc - B2B - Banjarmasin,207,25,timezone,Asia/Makassar,1,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2025-04-28 17:29:54",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,172,22,time_span_allowed_for_cancellation,"24",,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 12:05:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,173,22,time_span_allowed_for_reschedule,"24",,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 12:05:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,174,22,transportation_fee_condition,false,,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,175,22,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,176,22,transportation_fee,"0",,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,177,22,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,178,22,min_cart_price,"0",,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,179,22,timezone,Asia/Jakarta,1,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,184,23,time_span_allowed_for_cancellation,"24",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,185,23,time_span_allowed_for_reschedule,"24",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,186,23,transportation_fee_condition,false,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,187,23,time_span_allowed_for_cancellation_unit,HOURS,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,188,23,transportation_fee,"0",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,189,23,time_span_allowed_for_reschedule_unit,HOURS,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,190,23,min_cart_price,"0",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Medan,191,23,timezone,Asia/Jakarta,1,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,152,20,time_span_allowed_for_cancellation,"24",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,153,20,time_span_allowed_for_reschedule,"24",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,154,20,transportation_fee_condition,false,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,155,20,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,156,20,transportation_fee,"0",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,157,20,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,158,20,min_cart_price,"0",,"2024-07-05 09:41:47",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Semarang,159,20,timezone,Asia/Jakarta,1,"2024-07-05 09:41:47",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,164,21,time_span_allowed_for_cancellation,"24",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,165,21,time_span_allowed_for_reschedule,"24",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,166,21,transportation_fee_condition,false,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,167,21,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,168,21,transportation_fee,"0",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,169,21,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,170,21,min_cart_price,"0",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc - B2B - Surabaya,171,21,timezone,Asia/Jakarta,1,"2024-07-07 09:58:44",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
Halodoc Home Care Bali Badung,224,29,time_span_allowed_for_cancellation,"24",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
Halodoc Home Care Bali Badung,225,29,time_span_allowed_for_reschedule,"24",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
Halodoc Home Care Bali Badung,226,29,transportation_fee_condition,false,,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
Halodoc Home Care Bali Badung,227,29,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
Halodoc Home Care Bali Badung,228,29,transportation_fee,"0",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
