"id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
1,1,time_span_allowed_for_cancellation,"24",1,"2022-10-11 15:52:38",Dev Token,"2023-06-01 09:27:10",audhy.prabowo
2,1,time_span_allowed_for_reschedule,"24",1,"2022-10-11 15:52:38",Dev Token,"2023-06-07 20:08:24",audhy.prabowo
3,1,time_span_allowed_for_cancellation_unit,HOURS,1,"2022-10-11 15:52:38",Dev Token,"2022-10-11 15:52:38",Dev Token
4,1,time_span_allowed_for_reschedule_unit,HOURS,1,"2022-10-11 15:52:38",Dev Token,"2022-10-11 15:52:38",Dev Token
5,2,time_span_allowed_for_cancellation,"24",1,"2022-11-16 14:14:51",Dev Token,"2023-01-26 16:08:31",audhy.prabowo
6,2,time_span_allowed_for_reschedule,"24",1,"2022-11-16 14:14:51",Dev Token,"2024-03-14 23:02:30",audhy.prabowo
7,2,time_span_allowed_for_cancellation_unit,HOURS,1,"2022-11-16 14:14:51",Dev Token,"2022-11-16 14:14:51",Dev Token
8,2,time_span_allowed_for_reschedule_unit,HOURS,1,"2022-11-16 14:14:51",Dev Token,"2022-11-16 14:14:51",Dev Token
9,3,time_span_allowed_for_cancellation,"24",,"2023-08-09 13:10:11",wiwin.dwiutami.hakim,"2023-08-31 13:34:16",audhy.prabowo
10,3,time_span_allowed_for_reschedule,"24",,"2023-08-09 13:10:11",wiwin.dwiutami.hakim,"2023-08-31 13:34:16",audhy.prabowo
11,3,time_span_allowed_for_cancellation_unit,HOURS,,"2023-08-09 13:10:11",wiwin.dwiutami.hakim,"2023-08-09 13:10:11",wiwin.dwiutami.hakim
12,3,time_span_allowed_for_reschedule_unit,HOURS,,"2023-08-09 13:10:11",wiwin.dwiutami.hakim,"2023-08-09 13:10:11",wiwin.dwiutami.hakim
13,4,time_span_allowed_for_cancellation,"24",,"2023-08-09 18:10:31",wiwin.dwiutami.hakim,"2023-08-09 18:10:31",wiwin.dwiutami.hakim
14,4,time_span_allowed_for_reschedule,"24",,"2023-08-09 18:10:31",wiwin.dwiutami.hakim,"2023-08-09 18:10:31",wiwin.dwiutami.hakim
15,4,time_span_allowed_for_cancellation_unit,HOURS,,"2023-08-09 18:10:31",wiwin.dwiutami.hakim,"2023-08-09 18:10:31",wiwin.dwiutami.hakim
16,4,time_span_allowed_for_reschedule_unit,HOURS,,"2023-08-09 18:10:31",wiwin.dwiutami.hakim,"2023-08-09 18:10:31",wiwin.dwiutami.hakim
