"id","package_id","demand_zone_id","status","featured","cost_price","sale_price","currency","sla_unit","sla_value","created_at","created_by","updated_at","updated_by","external_id","latest_snapshot_id"
1,1,1,active,1,269000.00,219000.00,IDR,DAYS,1,"2022-10-27 13:31:03",Dev Token,"2023-10-08 17:18:34",audhy.prabowo,"6f8f274a-1569-4dbd-86ad-bc71aefbf5fc",dcffed8c-cc6e-453b-9bef-e2a9fd8ae92a
2,2,1,inactive,0,629000.00,529000.00,IDR,DAYS,1,"2022-11-08 09:29:11",Dev Token,"2023-06-30 16:13:28",jocelyn.tandrian,"88d886d3-a75c-42d5-8863-9a7b43ed90e6",b680eed4-3934-43ee-aa53-7df515d6a030
3,3,1,inactive,0,399000.00,349000.00,IDR,DAYS,1,"2022-11-08 09:29:48",Dev Token,"2023-06-30 16:14:05",jocelyn.tandrian,db14348a-f1ce-4d98-8631-31adf854887c,"4055a065-3e5e-4137-b599-1c3e08ad89cc"
4,4,1,inactive,0,1369000.00,1219000.00,IDR,DAYS,1,"2022-11-08 10:00:02",Dev Token,"2023-06-30 16:13:54",jocelyn.tandrian,"0a69de66-cd28-4738-bccd-6f111257c923","4809314a-d1e2-427d-b0d7-4e1912cff5a9"
5,5,1,active,0,279000.00,229000.00,IDR,DAYS,1,"2022-11-08 10:01:27",Dev Token,"2023-05-26 17:11:03",audhy.prabowo,ca8222df-fbaf-4059-a9d9-2499b85fa237,"8bb38e15-3398-488a-935f-c95e3197db1b"
6,6,1,active,0,449000.00,399000.00,IDR,DAYS,1,"2022-11-08 10:02:04",Dev Token,"2023-05-26 17:12:07",audhy.prabowo,ca614eef-5f22-4de2-905e-4ecd67ef1f96,"76ea217d-c933-4e87-bbce-5580bc97abb4"
7,7,1,active,0,1999000.00,1849000.00,IDR,DAYS,2,"2022-11-08 10:08:27",Dev Token,"2024-03-12 07:21:15",wiwin.dwiutami.hakim,"643fe242-bffe-4ba5-a414-b20b58192eeb",e4903e93-7c33-4b67-b5f5-c0b23be3f270
8,8,1,inactive,0,599000.00,549000.00,IDR,DAYS,1,"2022-11-08 10:09:03",Dev Token,"2023-06-30 16:14:45",jocelyn.tandrian,"28022f2e-9a87-4ff5-942b-2c25c8208899",a14af8de-6dfd-402a-a326-6da690a22acf
9,9,1,inactive,0,919000.00,566900.00,IDR,DAYS,1,"2022-11-08 10:09:39",Dev Token,"2023-06-30 16:14:39",nabila.sauzan,dfe890cc-8c2f-4452-aadc-aa0230b82493,b90aa8c0-5afc-47db-ba6f-a3e6f0c67963
10,10,1,inactive,0,1229000.00,569000.00,IDR,HOURS,24,"2022-11-08 10:10:02",Dev Token,"2023-05-23 17:39:06",dwi.rahmawati,"4a9be27d-50ec-4dcc-bfa4-2e11d8372188",d34a8a39-51f5-47ae-8701-90cd76f875f4
11,42,1,inactive,0,399000.00,349000.00,IDR,HOURS,24,"2022-11-08 11:52:44",Dev Token,"2023-02-23 23:36:28",audhy.prabowo,c5a9dbe8-ff8e-4375-8878-a700fd1b922b,"0ff66221-733b-4a93-8a62-5d72959c59d8"
12,43,1,active,1,349000.00,299000.00,IDR,DAYS,1,"2022-11-08 13:08:28",Dev Token,"2023-06-30 16:15:46",dwi.rahmawati,"44efe734-d8cb-450b-a195-f8a21c61c3e9","32e23c8d-07e1-4929-8009-5624ad562078"
13,11,1,inactive,0,1330000.00,619000.00,IDR,DAYS,1,"2022-11-08 13:24:49",Dev Token,"2023-09-27 15:37:25",wiwin.dwiutami.hakim,"767ecdd7-2acf-485a-a134-f97489111481","56cf73ad-f48b-4b02-9257-92fc4d7e3b70"
14,36,1,inactive,0,419000.00,369000.00,IDR,DAYS,1,"2022-11-08 13:46:07",Dev Token,"2023-06-30 16:14:11",nabila.sauzan,"63f19ff8-8b0b-4c31-be34-cdf4ab7f157f",f8f76387-4b12-4403-aed0-96410d6cd172
15,12,1,active,0,319000.00,269000.00,IDR,DAYS,1,"2022-11-08 13:47:39",Dev Token,"2023-08-15 14:48:39",wiwin.dwiutami.hakim,"60c9be40-d47a-42a3-840e-1d88868cb4d2","5161034d-9c97-435f-8485-9d47a91182f2"
16,32,1,active,1,319000.00,269000.00,IDR,DAYS,1,"2022-11-08 13:49:11",Dev Token,"2023-05-26 17:09:54",audhy.prabowo,"8502bc9e-6699-4fb9-b6bb-da8fbe8ce6fe","62303809-febb-4f7d-acdd-d5bde3db7de9"
17,38,1,inactive,0,919000.00,819000.00,IDR,DAYS,1,"2022-11-08 13:49:39",Dev Token,"2023-06-30 16:31:55",dwi.rahmawati,"70453240-5fe3-4619-9bad-3cc485ad8ce4",b5dfb940-58ab-4747-8653-8f879f824012
18,18,1,active,0,1169000.00,1019000.00,IDR,DAYS,1,"2022-11-08 13:50:16",Dev Token,"2023-05-26 17:10:01",audhy.prabowo,"1edda052-e8a6-4209-873a-611c5227baa1",fad38d67-e4f0-4471-93f1-56fa24517e50
19,22,1,active,0,569000.00,519000.00,IDR,DAYS,1,"2022-11-08 13:59:42",Dev Token,"2024-01-01 17:22:50",audhy.prabowo,"8e7f4ec4-c907-4689-86f2-4a2fb9bdb144",eae11532-eecb-47d0-a88b-6a5d562759b5
20,17,1,active,1,649000.00,599000.00,IDR,DAYS,1,"2022-11-08 14:03:10",Dev Token,"2023-05-26 17:11:26",audhy.prabowo,"634044c3-1f94-4891-adc5-e13b6a6f68a2",c2eb35be-6452-48af-a76f-6413f422a073
21,21,1,active,0,799000.00,699000.00,IDR,DAYS,1,"2022-11-08 14:05:36",Dev Token,"2024-01-01 18:03:43",wiwin.dwiutami.hakim,"59f523db-3776-4906-b721-0a09dbe1b28b","0e068d61-0a16-4817-8c30-d30e973382b2"
22,29,1,inactive,0,749000.00,649000.00,IDR,DAYS,1,"2022-11-08 14:06:16",Dev Token,"2023-05-26 17:11:48",audhy.prabowo,"138ad85d-e5c6-491d-9ac8-09d4812637d8","6ac5890f-c070-43dc-a547-a3cfe9433602"
23,45,1,inactive,0,449000.00,399000.00,IDR,HOURS,24,"2022-11-08 14:07:02",Dev Token,"2023-05-02 11:43:40",dwi.rahmawati,"5ace3e2e-2273-424c-912a-35b4a03ef80b",ec208a50-608a-4885-ad6c-bf1089186a24
24,25,1,active,0,699000.00,599000.00,IDR,DAYS,1,"2022-11-08 14:07:41",Dev Token,"2024-01-01 18:02:12",wiwin.dwiutami.hakim,"11d482eb-1a64-42f2-805b-13004ae83de8",c038395a-1f19-4839-99be-bf8a5980e77b
25,26,1,inactive,0,1599000.00,1449000.00,IDR,DAYS,1,"2022-11-08 14:08:35",Dev Token,"2023-06-30 16:14:38",jocelyn.tandrian,f6874168-8a2d-452f-b9e7-51c77a1fd0cc,f6eeaa77-3066-4720-a2ca-612990460ba5
26,19,1,inactive,0,1029000.00,929000.00,IDR,HOURS,24,"2022-11-08 14:09:03",Dev Token,"2023-02-14 09:53:27",dwi.rahmawati,"01b92e68-3bbe-4b0f-ada8-28564dc7b641","4b4aefe4-de4c-4573-be2d-36095daa4baa"
27,40,1,inactive,0,1469000.00,1319000.00,IDR,DAYS,1,"2022-11-08 14:15:24",Dev Token,"2023-06-30 16:10:13",nabila.sauzan,"7b0c38e6-2279-47de-bf02-4cb487b5e31e","82ff1471-978a-40cc-acfb-5287b61ff704"
28,23,1,inactive,0,649000.00,649000.00,IDR,DAYS,1,"2022-11-08 14:17:39",Dev Token,"2023-09-11 09:47:35",wiwin.dwiutami.hakim,db6f5d57-84d6-469a-95d0-7069c5811b7d,b9111683-8519-4e9b-8e5a-5aa38bfbcd20
29,24,1,active,0,499000.00,449000.00,IDR,DAYS,1,"2022-11-08 14:19:59",Dev Token,"2024-01-01 17:23:56",audhy.prabowo,e9d90f8e-4366-4b14-992a-553c7482cdba,"8386dda3-e4b3-4da4-89db-389066a9d242"
30,46,1,inactive,0,559000.00,549000.00,IDR,HOURS,16,"2022-11-08 14:34:53",Dev Token,"2023-03-28 10:25:37",dwi.rahmawati,ecde53f0-ceca-41ff-81cf-3c9dc066b06a,"1d91e4d4-81ef-4565-992e-7280e12145e7"
31,47,1,inactive,0,449000.00,325000.00,IDR,DAYS,1,"2022-11-08 14:35:12",Dev Token,"2024-01-30 14:16:38",wiwin.dwiutami.hakim,"7581b52d-f9ca-4983-bd56-5be004eaed8f",cdc99b16-b6db-48d7-9a23-845f3d552851
