"name","id","demand_zone_package_id","patient_count","amount","status","created_at","updated_at","created_by","updated_by"
Cek Darah Untuk Alergi,1,3255,2,20000.00,active,"2024-06-26 15:44:55","2024-11-04 08:48:47",Dev Token,Dev Token
Allergy Blood Test,1,3255,2,20000.00,active,"2024-06-26 15:44:55","2024-11-04 08:48:47",Dev Token,Dev Token
Cek Darah Untuk Alergi,2,3255,3,30000.00,active,"2024-06-26 15:44:57","2024-11-04 08:48:48",Dev Token,Dev Token
Allergy Blood Test,2,3255,3,30000.00,active,"2024-06-26 15:44:57","2024-11-04 08:48:48",Dev Token,Dev Token
Cek Darah Untuk Alergi,3,3255,4,40000.00,active,"2024-06-26 15:44:59","2024-11-04 08:48:49",Dev Token,Dev Token
Allergy Blood Test,3,3255,4,40000.00,active,"2024-06-26 15:44:59","2024-11-04 08:48:49",Dev Token,Dev Token
Injeksi Vitamin C,4,683,2,20000.00,active,"2024-06-26 15:49:13","2024-11-04 08:49:35",Dev Token,Dev Token
Vitamin C Injection,4,683,2,20000.00,active,"2024-06-26 15:49:13","2024-11-04 08:49:35",Dev Token,Dev Token
Injeksi Vitamin C,5,683,3,30000.00,active,"2024-06-26 15:49:18","2024-11-04 08:49:36",Dev Token,Dev Token
Vitamin C Injection,5,683,3,30000.00,active,"2024-06-26 15:49:18","2024-11-04 08:49:36",Dev Token,Dev Token
Injeksi Vitamin C,6,683,4,40000.00,active,"2024-06-26 15:49:20","2024-11-04 08:49:37",Dev Token,Dev Token
Vitamin C Injection,6,683,4,40000.00,active,"2024-06-26 15:49:20","2024-11-04 08:49:37",Dev Token,Dev Token
Cek Lab Untuk Demam,7,657,2,20000.00,active,"2024-06-27 09:36:12","2024-11-04 08:48:37",Dev Token,Dev Token
Lab Test for Fever,7,657,2,20000.00,active,"2024-06-27 09:36:12","2024-11-04 08:48:37",Dev Token,Dev Token
Cek Lab Untuk Demam,8,657,3,30000.00,active,"2024-06-27 09:36:14","2024-11-04 08:48:38",Dev Token,Dev Token
Lab Test for Fever,8,657,3,30000.00,active,"2024-06-27 09:36:14","2024-11-04 08:48:38",Dev Token,Dev Token
Cek Lab Untuk Demam,9,657,4,40000.00,active,"2024-06-27 09:36:16","2024-11-04 08:48:39",Dev Token,Dev Token
Lab Test for Fever,9,657,4,40000.00,active,"2024-06-27 09:36:16","2024-11-04 08:48:39",Dev Token,Dev Token
Cek Diabetes,10,665,2,20000.00,active,"2024-06-27 09:36:17","2024-11-04 08:49:10",Dev Token,Dev Token
Diabetes Test,10,665,2,20000.00,active,"2024-06-27 09:36:17","2024-11-04 08:49:10",Dev Token,Dev Token
Cek Diabetes,11,665,3,30000.00,active,"2024-06-27 09:36:19","2024-11-04 08:49:11",Dev Token,Dev Token
Diabetes Test,11,665,3,30000.00,active,"2024-06-27 09:36:19","2024-11-04 08:49:11",Dev Token,Dev Token
Cek Diabetes,12,665,4,40000.00,active,"2024-06-27 09:36:21","2024-11-04 08:49:12",Dev Token,Dev Token
Diabetes Test,12,665,4,40000.00,active,"2024-06-27 09:36:21","2024-11-04 08:49:12",Dev Token,Dev Token
Cek Elektrolit,13,666,2,20000.00,active,"2024-06-27 09:36:23","2024-11-04 08:49:13",Dev Token,Dev Token
Electrolyte Test,13,666,2,20000.00,active,"2024-06-27 09:36:23","2024-11-04 08:49:13",Dev Token,Dev Token
Cek Elektrolit,14,666,3,30000.00,active,"2024-06-27 09:36:25","2024-11-04 08:49:14",Dev Token,Dev Token
