"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
1,21,1,male,999,g/dL,range,"13.2,17.3","13.2 - 17.3","",0,"2024-09-06 16:39:51","2024-12-11 12:25:59",Dev Token,Dev Token,288917
2,21,79,all,999,%,range,"0,5.7",< 5.7,"<5.7        : Normal
5.7 - 6.4 : Prediabetes
>=6.5      : Diabetes",0,"2024-09-06 16:50:27","2024-12-11 12:26:36",Dev Token,Dev Token,288917
3,21,1,female,999,g/dL,range,"11.7,15.5","11.7 - 15.5","",0,"2024-09-11 18:36:58","2024-12-11 12:26:01",Dev Token,Dev Token,288917
4,21,2,male,999,%,range,"40,52","40 - 52","",0,"2024-09-11 18:37:00","2024-12-11 12:26:02",Dev Token,Dev Token,288917
5,21,2,female,999,%,range,"35,47","35 - 47","",0,"2024-09-11 18:37:01","2024-12-11 12:26:04",Dev Token,Dev Token,288917
6,21,102,male,999,"10⁶/μ",range,"4.4,5.9","4.4 - 5.9","",0,"2024-09-11 18:37:02","2024-12-11 12:26:05",Dev Token,Dev Token,288917
7,21,102,female,999,"10⁶/μ",range,"3.8,5.2","3.8 - 5.2","",0,"2024-09-11 18:37:03","2024-12-11 12:26:06",Dev Token,Dev Token,288917
8,21,119,all,999,"10³/μL",range,"150,440","150 - 440","",0,"2024-09-11 18:37:04","2024-12-11 12:26:08",Dev Token,Dev Token,288917
9,21,107,male,999,"10³/μL",range,"3.8,10.6","3.8 - 10.6","",0,"2024-09-11 18:37:05","2024-12-11 12:26:09",Dev Token,Dev Token,288917
10,21,107,female,999,"10³/μL",range,"3.6,11.0","3.6 - 11.0","",0,"2024-09-11 18:37:06","2024-12-11 12:26:11",Dev Token,Dev Token,288917
11,21,99,all,999,/LPB,contains,"0-1,0-2,0-3,1-2,1-3,1-4,0-7,2-4,2-3","0 - 7","",0,"2024-09-11 18:37:20","2024-12-11 12:27:00",Dev Token,Dev Token,288917
12,21,98,all,999,/LPB,contains,"0-1,0-2,0-3,1-2,1-3,2-3","0 - 3","",0,"2024-09-11 18:37:21","2024-12-11 12:26:57",Dev Token,Dev Token,288917
13,21,93,all,999,/LPB,contains,"0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4","0 - 4","",0,"2024-09-11 18:37:22","2024-12-11 12:26:55",Dev Token,Dev Token,288917
14,21,94,all,999,/100 LPK,contains,Negatif,Negatif,"",0,"2024-09-11 18:37:23","2024-12-11 12:26:58",Dev Token,Dev Token,288917
15,21,163,male,999,mg/dL,range,"0,149",< 150,"",0,"2024-09-11 18:37:27","2024-10-14 09:27:58",Dev Token,Dev Token,271752
16,21,163,female,999,mg/dL,range,"0,159",< 160,"",0,"2024-09-11 18:37:28","2024-10-14 09:27:59",Dev Token,Dev Token,271752
17,21,153,all,999,mg/dL,range,"0,199",< 200,"<200         : Desirable
200 - 239 : Borderline High
>=240       : High",0,"2024-09-11 18:37:29","2024-12-11 12:26:20",Dev Token,Dev Token,288917
18,21,151,all,999,mg/dL,range,"60,999",>= 60,"<40   : Low (at risk)
>=60 : Desirable",0,"2024-09-11 18:37:30","2024-12-11 12:26:21",Dev Token,Dev Token,288917
19,21,152,all,999,mg/dL,range,"0,99",< 100,"<100         : Optimal
100 - 129 : Near Optimal
130 - 159 : Borderline High
160 - 189 : High
>=190       : Very High",0,"2024-09-11 18:37:31","2024-12-11 12:26:23",Dev Token,Dev Token,288917
20,21,147,all,999,mg/dL,range,"0,100",< 100,"70 - 99     : Normal
100 - 125: Prediabetes
>=126      : Diabetes",0,"2024-09-11 18:37:32","2024-12-11 12:26:34",Dev Token,Dev Token,288917
21,21,306,male,999,mg/dL,range,"0.67,1.17","0.67 - 1.17","",0,"2024-09-11 18:37:35","2024-12-11 12:26:30",Dev Token,Dev Token,288917
22,21,306,female,999,mg/dL,range,"0.51,0.95","0.51 - 0.95","",0,"2024-09-11 18:37:36","2024-12-11 12:27:06",Dev Token,Dev Token,288917
23,21,161,male,999,mg/dL,range,"3.4,7.0","3.4 - 7.0","",0,"2024-09-11 18:37:37","2024-12-11 12:26:24",Dev Token,Dev Token,288917
24,21,161,female,999,mg/dL,range,"2.4,5.7","2.4 - 5.7","",0,"2024-09-11 18:37:38","2024-12-11 12:26:26",Dev Token,Dev Token,288917
25,21,164,all,999,mg/dL,range,"12.6,42.6","12.6 - 42.6","",0,"2024-09-11 18:37:39","2024-12-11 12:26:27",Dev Token,Dev Token,288917
26,21,156,male,999,U/L,range,"0,39",< 40,"",0,"2024-09-11 18:37:40","2024-12-11 12:26:12",Dev Token,Dev Token,288917
27,21,156,female,999,U/L,range,"0,31",< 32,"",0,"2024-09-11 18:37:41","2024-12-11 12:26:13",Dev Token,Dev Token,288917
28,21,157,male,999,U/L,range,"0,40",< 41,"",0,"2024-09-11 18:37:42","2024-12-11 12:26:15",Dev Token,Dev Token,288917
29,21,157,female,999,U/L,range,"0,32",< 33,"",0,"2024-09-11 18:37:43","2024-12-11 12:26:16",Dev Token,Dev Token,288917
30,21,577,all,999,mg/dL,range,"0,140",< 140,"Normal        : 70 - 139
Prediabetes: 140 - 199
Diabetes      : >= 200",0,"2024-09-21 13:50:07","2024-12-11 12:26:35",Dev Token,Dev Token,288917
31,14,1,male,999,g/dL,range,"13.2,17.3","13.2 - 17.3","",0,"2024-09-21 17:01:41","2024-09-21 17:01:41",Dev Token,Dev Token,265159
32,14,1,female,999,g/dL,range,"11.7,15.5","11.7 - 15.5","",0,"2024-09-21 17:01:42","2024-09-21 17:01:42",Dev Token,Dev Token,265159
33,14,2,male,999,%,range,"40,52","40 - 52","",0,"2024-09-21 17:01:43","2024-09-21 17:01:43",Dev Token,Dev Token,265159
34,14,2,female,999,%,range,"35,47","35 - 47","",0,"2024-09-21 17:01:44","2024-09-21 17:01:44",Dev Token,Dev Token,265159
35,14,102,male,999,"10⁶/μ",range,"4.4,5.9","4.4 - 5.9","",0,"2024-09-21 17:01:45","2024-09-21 17:01:45",Dev Token,Dev Token,265159
36,14,102,female,999,"10⁶/μ",range,"3.8,5.2","3.8 - 5.2","",0,"2024-09-21 17:01:46","2024-09-21 17:01:46",Dev Token,Dev Token,265159
37,14,119,all,999,"10³/μL",range,"150,440","150 - 440","",0,"2024-09-21 17:01:47","2024-09-21 17:01:47",Dev Token,Dev Token,265159
