"id","created_at","created_by","updated_at","updated_by","external_id","display_name","address_line","lab_supervising_doctor","status","npwp","city","landmark","postal_code","images","country","legal_no","site_code","doctor_referrer_name"
1,"2023-01-03 12:44:23",audhy.prabowo,"2025-03-18 17:35:23",wiwin.dwiutami.hakim,dd75e738-28c0-48c2-9db9-f2c62cb38ed1,Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No 1C, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, 12780",dr. Rakhma Asih Primadyah,active,"95.213.894.9-011.000",Jakarta,Klinik Utama Halomedika,"12780","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/215347_18-3-2025_17-35-19.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"02204008916440048",H1, dr. Auliya Sauma
2,"2023-01-13 14:53:52",audhy.prabowo,"2023-06-28 21:03:22",audhy.prabowo,"39abb2cf-8b09-44dd-b15d-70cd7fb6ab80",Klinik Utama Prima,"Jl. Undaan Kulon No.37, Peneleh, Kec. Genteng, Kota Surabaya, Jawa Timur 60274","dr. Leonita Anniwati, SpPK(K)",active,"01.677.632.0-611.000",Surabaya,Lab Prima,"60274","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/738655_1-6-2023_11-30-28.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"503.445/KLINIK SWASTA/135-KU/P/436.7.2/VI/2022",S1,"dr. Leonita Anniwati, SpPK(K)"
3,"2023-08-09 13:10:11",wiwin.dwiutami.hakim,"2024-05-13 17:33:26",wiwin.dwiutami.hakim,"933a6661-6d43-4671-90bf-aa2a511fcb0f",Intibios Bandung,"Jl. Tera No. 14, Braga, Sumur Bandung, Kota
Bandung, Jawa Barat 40111","dr. Raja Iqbal Mulya Harahap, Sp.PK",,"43.241.379.7-043.000",Bandung,"Intibios Lab, Klinik & Farmasi Bandung","40111","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/768967_29-2-2024_16-54-47.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"18082100102990040",B1,dr. Samira Salim
4,"2023-08-09 18:10:31",wiwin.dwiutami.hakim,"2024-07-08 21:51:02",rita.susanti,"2f0872ad-da0d-448e-bcca-b2dbc272e4bb",‎ ,‎ ,‎ Pelaksana Yang Bersangkutan,,‎ ,‎ ,‎ ,‎ ,[],‎ ,‎ ,PND,‎ ‎ Pelaksana Yang Bersangkutan
14,"2024-03-28 13:37:02",audhy.prabowo,"2024-05-13 17:33:00",wiwin.dwiutami.hakim,d1cb3e59-29c6-4b7f-9c2f-88127d3760db,Intibios Semarang,"Jl. Sultan Agung No.142, Kaliwiru, Candisari, Kota Semarang, Jawa Tengah 50232",dr. Lura Sativa,,"43.241.379.7-043.000",Semarang,"Intibios Lab, Klinik & Farmasi Semarang","50232","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/349935_13-5-2024_17-6-6.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"18082100102990026",B2,dr. Talitha Helga Safira
16,"2024-04-24 12:18:07",wiwin.dwiutami.hakim,"2024-05-13 17:32:50",wiwin.dwiutami.hakim,"7cd45adc-b33f-4cfd-a805-9c08fd66c1d7",Intibios Bali,"Jl. Raya Puputan No. 68X, Dangin Puri Klod, Denpasar Timur, Kota Denpasar 80234",dr. Ida Bagus Alit Raditya Jayaputra,,"43.241.379.7-043.000",Denpasar,"Intibios Lab, Klinik & Farmasi Bali","80234","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/752504_13-5-2024_17-6-0.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"18082100102990022",B3,dr. Ida Bagus Alit Raditya Jayaputra
17,"2024-05-02 11:16:41",wiwin.dwiutami.hakim,"2024-05-13 17:07:09",audhy.prabowo,"53c3d0ac-a5a1-4d8c-9865-e6707e0500b6",Intibios Yogyakarta,"Jl. Pangeran Diponegoro No. 92, Cokrodiningratan, Jetis, Yogyakarta 55233","dr. Andika Putra, Sp.PD",,"95.362.335.2-032.000",Yogyakarta,"Intibios Lab, Klinik & Farmasi Yogyakarta","55233","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/64395_13-5-2024_17-4-20.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"02202067410560016",B4,dr. Firky Ditha Saputri
18,"2024-06-05 11:46:10",wiwin.dwiutami.hakim,"2024-06-05 11:46:10",wiwin.dwiutami.hakim,e4649209-b660-4d4f-84b8-4ba7478dde9a,Intibios Surabaya,"Jl. Kombes Pol. Moh. Duryat No.2, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60271","dr. Leonita Anniwati, SpPK(K)",, 01.677.632.0-611.000,Surabaya,"Intibios Lab, Klinik & Farmasi Surabaya","60271",[],Indonesia,"503.445/KLINIK SWASTA/135-KU/P/436.7.2/VI/2022",B5,"dr. Leonita Anniwati, SpPK(K)"
19,"2024-07-05 09:37:01",wiwin.dwiutami.hakim,"2024-11-29 08:51:47",wiwin.dwiutami.hakim,"932b8c75-4fe5-472a-aa4c-6d94d012ab4d",Klinik Pratama Intibios Semarang,"Jl. Sultan Agung No.142, Kaliwiru, Candisari, Kota Semarang, Jawa Tengah 50232",dr. Cut Putri Siti,,"43.241.379.7-043.000",Semarang,"Intibios Lab, Klinik & Farmasi Semarang","50232",[],Indonesia,"1808210010299",H2,dr. Cut Putri Siti
20,"2024-07-07 09:56:56",wiwin.dwiutami.hakim,"2024-11-29 08:51:26",wiwin.dwiutami.hakim,"044d2f85-618f-4eaf-a054-91ae2cb407e2", Klinik Utama Intibios Surabaya,"Jl. Kombes Pol M. Duryat No. 2, Tegalsari, Tegalsari,
Surabaya, Jawa Timur",dr. Budiono Gunawan Sutanto,,"95.362.335.2-032.000", Surabaya,"Intibios Lab, Klinik & Farmasi Surabaya","60271",[], Indonesia,"220206741056",H2,dr. Budiono Gunawan Sutanto
21,"2024-07-07 10:00:03",wiwin.dwiutami.hakim,"2025-03-18 17:35:16",wiwin.dwiutami.hakim,"8240f4c3-9fde-4fe7-ae49-cabd30fa8977",Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No.1C, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",dr. Rakhma Asih Primadyah,,"95.362.335.2-032.000",Jakarta,Klinik Utama Halomedika,"14470","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/435991_18-3-2025_17-35-11.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"0220206741056",H1,dr. Fiarry Fikaris
22,"2024-11-29 09:05:08",wiwin.dwiutami.hakim,"2024-12-05 08:11:44",wiwin.dwiutami.hakim,e45d85fd-64dd-479c-92c0-df856b3008ab,Klinik Utama Tirta Medical Centre,"Jl jenderal Besar A.H Nasution No.9, Pangkalan Masyhur, Medan Johor, Kota Medan sumatera Utara","dr. Wisty Chintia Putri. S, M.K.M",,"02.436.175.0-121.001",Medan,Klinik Utama Tirta Medical Centre,"20146",[],Indonesia,"81202142504520053",H2,"dr. Wisty Chintia Putri. S, M.K.M"
