"id","line_item_id","name","created_at","created_by","language","updated_at","updated_by"
1,1,Hemoglobin english,"2022-12-21 23:46:27",audhy.prabowo,english,"2022-12-22 15:05:09",midhu.joseph
2,1,Hemoglobin bahasa,"2022-12-21 23:46:27",audhy.prabowo,bahasa_indonesia,"2022-12-22 15:05:09",midhu.joseph
3,2,Hematocrit,"2022-12-21 23:46:33",audhy.prabowo,english,"2022-12-21 23:49:43",audhy.prabowo
4,2,Hematocrit,"2022-12-21 23:46:33",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:43",audhy.prabowo
5,3,Hemoglobin,"2022-12-21 23:46:51",audhy.prabowo,english,"2022-12-21 23:46:51",audhy.prabowo
6,3,Hemoglobin,"2022-12-21 23:46:51",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:51",audhy.prabowo
7,4,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,english,"2022-12-21 23:46:55",audhy.prabowo
8,4,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:55",audhy.prabowo
9,5,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,english,"2022-12-21 23:46:55",audhy.prabowo
10,5,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:55",audhy.prabowo
11,6,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,english,"2022-12-21 23:46:55",audhy.prabowo
12,6,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:55",audhy.prabowo
13,7,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,english,"2022-12-21 23:46:55",audhy.prabowo
14,7,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:55",audhy.prabowo
15,8,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,english,"2022-12-21 23:46:55",audhy.prabowo
16,8,Hemoglobin,"2022-12-21 23:46:55",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:55",audhy.prabowo
17,9,Hemoglobin,"2022-12-21 23:46:56",audhy.prabowo,english,"2022-12-21 23:46:56",audhy.prabowo
18,9,Hemoglobin,"2022-12-21 23:46:56",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:56",audhy.prabowo
19,10,Hemoglobin,"2022-12-21 23:46:56",audhy.prabowo,english,"2022-12-21 23:46:56",audhy.prabowo
20,10,Hemoglobin,"2022-12-21 23:46:56",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:56",audhy.prabowo
21,11,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,english,"2022-12-21 23:46:57",audhy.prabowo
22,11,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:57",audhy.prabowo
23,12,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,english,"2022-12-21 23:46:57",audhy.prabowo
24,12,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:57",audhy.prabowo
25,13,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,english,"2022-12-21 23:46:57",audhy.prabowo
26,13,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:57",audhy.prabowo
27,14,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,english,"2022-12-21 23:46:57",audhy.prabowo
28,14,Hemoglobin,"2022-12-21 23:46:57",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:57",audhy.prabowo
29,15,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,english,"2022-12-21 23:46:58",audhy.prabowo
30,15,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:58",audhy.prabowo
31,16,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,english,"2022-12-21 23:46:58",audhy.prabowo
32,16,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:58",audhy.prabowo
33,17,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,english,"2022-12-21 23:46:58",audhy.prabowo
34,17,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:58",audhy.prabowo
35,18,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,english,"2022-12-21 23:46:58",audhy.prabowo
36,18,Hemoglobin,"2022-12-21 23:46:58",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:46:58",audhy.prabowo
37,19,Hematocrit,"2022-12-21 23:49:45",audhy.prabowo,english,"2022-12-21 23:49:45",audhy.prabowo
38,19,Hematocrit,"2022-12-21 23:49:45",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:45",audhy.prabowo
39,20,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,english,"2022-12-21 23:49:46",audhy.prabowo
40,20,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:46",audhy.prabowo
41,21,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,english,"2022-12-21 23:49:46",audhy.prabowo
42,21,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:46",audhy.prabowo
43,22,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,english,"2022-12-21 23:49:46",audhy.prabowo
44,22,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:46",audhy.prabowo
45,23,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,english,"2022-12-21 23:49:46",audhy.prabowo
46,23,Hematocrit,"2022-12-21 23:49:46",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:46",audhy.prabowo
47,24,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
48,24,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
49,25,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
50,25,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
51,26,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
52,26,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
53,27,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
54,27,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
55,28,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
56,28,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
57,29,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,english,"2022-12-21 23:49:47",audhy.prabowo
58,29,Hematocrit,"2022-12-21 23:49:47",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:47",audhy.prabowo
59,30,Hematocrit,"2022-12-21 23:49:48",audhy.prabowo,english,"2022-12-21 23:49:48",audhy.prabowo
60,30,Hematocrit,"2022-12-21 23:49:48",audhy.prabowo,bahasa_indonesia,"2022-12-21 23:49:48",audhy.prabowo
61,31,Hematocrit,"2022-12-21 23:49:48",audhy.prabowo,english,"2022-12-21 23:49:48",audhy.prabowo
