"id","created_at","created_by","updated_at","updated_by","external_id","universal_standard_code","status","value_type","display_order","section_id"
1,"2022-12-21 23:46:27",audhy.prabowo,"2022-12-21 23:46:27",audhy.prabowo,a67d918f-6a1e-415b-b755-53d1352ce827,"718-7",active,NUMERIC,0,1
2,"2022-12-21 23:46:33",audhy.prabowo,"2022-12-21 23:49:43",audhy.prabowo,"8abddab3-136f-492d-8399-0121567df79d","4544-3",active,NUMERIC,0,2
3,"2022-12-21 23:46:51",audhy.prabowo,"2022-12-21 23:46:51",audhy.prabowo,adaf089a-0c6f-4416-a1ae-ea66d45e41ec,"718-7",active,NUMERIC,0,3
4,"2022-12-21 23:46:55",audhy.prabowo,"2022-12-21 23:46:55",audhy.prabowo,"18b5bf6b-70bf-4279-a195-b8e9af139025","718-7",active,NUMERIC,0,4
5,"2022-12-21 23:46:55",audhy.prabowo,"2022-12-21 23:46:55",audhy.prabowo,b4e33216-849a-41c1-b973-d7f5dae79f8f,"718-7",active,NUMERIC,0,5
6,"2022-12-21 23:46:55",audhy.prabowo,"2022-12-21 23:46:55",audhy.prabowo,d0018a9a-b822-49a3-9d29-0a376e0f5f13,"718-7",active,NUMERIC,0,6
7,"2022-12-21 23:46:55",audhy.prabowo,"2022-12-21 23:46:55",audhy.prabowo,a6a00b02-5bf8-4fba-8ca9-93d8e4afe393,"718-7",active,NUMERIC,0,7
8,"2022-12-21 23:46:55",audhy.prabowo,"2022-12-21 23:46:55",audhy.prabowo,"01c717da-da0c-4a75-be40-4de3daee27d0","718-7",active,NUMERIC,0,8
9,"2022-12-21 23:46:56",audhy.prabowo,"2022-12-21 23:46:56",audhy.prabowo,fa82e254-8f61-486a-8fa1-abd41da0faea,"718-7",active,NUMERIC,0,9
10,"2022-12-21 23:46:56",audhy.prabowo,"2022-12-21 23:46:56",audhy.prabowo,"21a5baa8-8eeb-4b7d-b1e1-4bb7680246d2","718-7",active,NUMERIC,0,10
11,"2022-12-21 23:46:57",audhy.prabowo,"2022-12-21 23:46:57",audhy.prabowo,"2724b2ed-e71f-45ee-b539-40a881f52d4c","718-7",active,NUMERIC,0,11
12,"2022-12-21 23:46:57",audhy.prabowo,"2022-12-21 23:46:57",audhy.prabowo,"41ce85cb-9e61-4bac-88ec-54fda9a4fa4d","718-7",active,NUMERIC,0,12
13,"2022-12-21 23:46:57",audhy.prabowo,"2022-12-21 23:46:57",audhy.prabowo,"50571840-4d1e-43cc-a9a4-461e7bb9f703","718-7",active,NUMERIC,0,13
14,"2022-12-21 23:46:57",audhy.prabowo,"2022-12-21 23:46:57",audhy.prabowo,"85b6000f-0952-4993-8676-2184e7fd8f7a","718-7",active,NUMERIC,0,14
15,"2022-12-21 23:46:58",audhy.prabowo,"2022-12-21 23:46:58",audhy.prabowo,"76c09a15-39c4-4e25-b83c-e660fc5fd8c9","718-7",active,NUMERIC,0,15
16,"2022-12-21 23:46:58",audhy.prabowo,"2022-12-21 23:46:58",audhy.prabowo,e4bf9f32-c9ed-4b07-be17-7cb88701ede0,"718-7",active,NUMERIC,0,16
17,"2022-12-21 23:46:58",audhy.prabowo,"2022-12-21 23:46:58",audhy.prabowo,a9238bf5-84f4-4a00-a994-4432ae83a66e,"718-7",active,NUMERIC,0,17
