"id","created_at","created_by","updated_at","updated_by","medical_staff_id","demand_zone_id","quota_per_slot","external_id","deleted"
1,"2024-03-14 21:36:23",roy.haryanto,"2024-03-14 21:59:36",audhy.prabowo,2,1,4,"713c96c0-10c0-4464-b525-966213f8882b",0
2,"2024-03-14 21:36:23",roy.haryanto,"2024-03-14 21:59:36",audhy.prabowo,3,1,4,"440b9b07-dce1-45d1-ba72-4d212529a678",0
3,"2024-03-14 21:36:23",roy.haryanto,"2024-03-14 21:59:36",audhy.prabowo,1,1,12,a729ecbc-5e28-4708-b0e9-205396b281f7,0
4,"2024-03-14 21:36:45",roy.haryanto,"2024-03-14 21:36:45",roy.haryanto,3,2,0,eaef0a5d-594a-42e9-9e2e-a9a9e19dfe72,0
5,"2024-03-14 21:36:45",roy.haryanto,"2024-03-14 23:02:30",audhy.prabowo,1,2,3,cc99f13e-49fb-463a-8deb-4f2e448cdf8a,0
6,"2024-03-14 21:36:45",roy.haryanto,"2024-03-14 21:36:45",roy.haryanto,2,2,0,acb9c843-6aa9-4e47-b4b4-c8cdd8749a4d,0
7,"2024-03-14 21:36:51",roy.haryanto,"2025-02-14 06:35:04",wiwin.dwiutami.hakim,1,3,0,"334ee908-c11b-4eec-8318-1d8f543afb93",0
8,"2024-03-14 21:36:51",roy.haryanto,"2025-02-14 06:35:04",wiwin.dwiutami.hakim,3,3,0,df06969b-35e8-488a-9069-1b34fa9b9294,0
9,"2024-03-14 21:36:51",roy.haryanto,"2025-02-14 06:35:04",wiwin.dwiutami.hakim,2,3,0,"1e412d45-3086-4bd8-8f5a-0ee0f1e19efc",0
10,"2024-03-14 21:36:57",roy.haryanto,"2024-06-14 17:24:19",rita.susanti,1,4,100,"31b1b899-f814-4b28-9e3d-391b5bfce4b3",0
11,"2024-03-14 21:36:57",roy.haryanto,"2024-07-05 14:18:56",rita.susanti,3,4,50,"36698350-32e1-4e7a-a779-909fe7e1a668",0
12,"2024-03-14 21:36:57",roy.haryanto,"2024-06-13 17:43:57",rita.susanti,2,4,1,"20436d25-3384-4113-9e1e-0567a31b1dec",0
13,"2024-03-15 05:31:09",audhy.prabowo,"2025-05-07 11:27:53",wiwin.dwiutami.hakim,3,5,10,"523ead0d-c961-4b5f-a832-7e8536dd81aa",0
14,"2024-03-15 05:31:09",audhy.prabowo,"2024-10-01 10:54:12",wiwin.dwiutami.hakim,2,5,10,c7cbfa36-d3ba-4215-948b-df9103b7129c,0
