"id","section_id","name","created_at","created_by","language","updated_at","updated_by"
1,19,new test bahasa,"2022-12-22 14:36:48",midhu.joseph,bahasa_indonesia,"2022-12-22 17:06:05",midhu.joseph
2,19,new test,"2022-12-22 14:36:48",midhu.joseph,english,"2022-12-22 17:06:05",midhu.joseph
3,20,test in prod english added in section,"2022-12-22 15:06:09",midhu.joseph,english,"2022-12-22 15:07:48",midhu.joseph
4,20,test in prod bahasa,"2022-12-22 15:06:09",midhu.joseph,bahasa_indonesia,"2022-12-22 15:06:10",midhu.joseph
5,21,Macroscopic,"2022-12-22 16:13:56",audhy.prabowo,english,"2022-12-22 16:13:56",audhy.prabowo
6,21,Makroskopis,"2022-12-22 16:13:56",audhy.prabowo,bahasa_indonesia,"2022-12-22 16:13:56",audhy.prabowo
7,22,Chemistry,"2022-12-23 03:15:22",audhy.prabowo,english,"2022-12-23 03:15:22",audhy.prabowo
8,22,Kimiawi,"2022-12-23 03:15:22",audhy.prabowo,bahasa_indonesia,"2022-12-23 03:15:22",audhy.prabowo
9,23,Mikroskopis,"2022-12-23 03:20:41",audhy.prabowo,bahasa_indonesia,"2022-12-23 03:20:41",audhy.prabowo
10,23,Microscopic,"2022-12-23 03:20:41",audhy.prabowo,english,"2022-12-23 03:20:41",audhy.prabowo
11,27,Indeks Eritrosit,"2022-12-23 03:50:30",audhy.prabowo,bahasa_indonesia,"2022-12-23 03:50:30",audhy.prabowo
12,27,RBC Index,"2022-12-23 03:50:30",audhy.prabowo,english,"2022-12-23 03:50:30",audhy.prabowo
13,30,Hitung Jenis,"2022-12-23 04:00:53",audhy.prabowo,bahasa_indonesia,"2022-12-23 04:00:53",audhy.prabowo
14,30,Differential Count,"2022-12-23 04:00:53",audhy.prabowo,english,"2022-12-23 04:00:53",audhy.prabowo
15,32,Platelet Index,"2022-12-23 04:09:21",audhy.prabowo,english,"2022-12-23 04:09:22",audhy.prabowo
16,32,Indeks Trombosit,"2022-12-23 04:09:21",audhy.prabowo,bahasa_indonesia,"2022-12-23 04:09:22",audhy.prabowo
17,37,TIBC and Transferin Saturation,"2023-01-17 12:03:31",dwi.rahmawati,english,"2023-07-31 12:14:06",audhy.prabowo
18,37,TIBC and Saturasi Transferin,"2023-01-17 12:03:31",dwi.rahmawati,bahasa_indonesia,"2023-07-31 12:14:06",audhy.prabowo
20,63,Creatinine & Glomerular Filtration Rate,"2023-01-17 14:19:19",dwi.rahmawati,english,"2023-01-17 14:19:19",dwi.rahmawati
21,63,Laju Filtrasi Kreatinin & Glomerulus,"2023-01-17 14:19:19",dwi.rahmawati,bahasa_indonesia,"2023-01-17 14:19:19",dwi.rahmawati
23,47,Dengue Virus Ab.IgG & IgM,"2023-01-17 14:48:38",dwi.rahmawati,english,"2023-01-17 14:48:38",dwi.rahmawati
24,47,Virus Dengue Ab.IgG & IgM,"2023-01-17 14:48:38",dwi.rahmawati,bahasa_indonesia,"2023-01-17 14:48:38",dwi.rahmawati
26,71,Salmonella Species Antibody,"2023-01-17 15:52:46",dwi.rahmawati,english,"2023-01-17 16:49:41",dwi.rahmawati
27,71,Antibodi Spesies Salmonella,"2023-01-17 15:52:46",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:49:41",dwi.rahmawati
29,24,Hemoglobin,"2023-01-17 16:03:30",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:03:30",dwi.rahmawati
30,24,Hemoglobin,"2023-01-17 16:03:30",dwi.rahmawati,english,"2023-01-17 16:03:30",dwi.rahmawati
32,25,Hematocrit,"2023-01-17 16:05:42",dwi.rahmawati,english,"2023-01-17 16:05:42",dwi.rahmawati
33,25,Hematokrit,"2023-01-17 16:05:42",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:05:42",dwi.rahmawati
35,26,Red Blood Cell,"2023-01-17 16:06:42",dwi.rahmawati,english,"2023-01-17 16:06:42",dwi.rahmawati
36,26,Eritrosit,"2023-01-17 16:06:42",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:06:42",dwi.rahmawati
38,28,Erythrocyte Distribution Width,"2023-01-17 16:10:54",dwi.rahmawati,english,"2023-01-17 16:10:54",dwi.rahmawati
39,28,Lebar Distribusi Eritrosit,"2023-01-17 16:10:54",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:10:54",dwi.rahmawati
41,29,Leukocytes,"2023-01-17 16:13:57",dwi.rahmawati,english,"2023-01-17 16:13:57",dwi.rahmawati
42,29,Leukosit,"2023-01-17 16:13:57",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:13:57",dwi.rahmawati
44,31,Trombosit,"2023-01-17 16:23:54",dwi.rahmawati,bahasa_indonesia,"2023-01-17 16:23:54",dwi.rahmawati
45,31,Platelets,"2023-01-17 16:23:54",dwi.rahmawati,english,"2023-01-17 16:23:54",dwi.rahmawati
