"display_name","id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
Halodoc - B2B - Banjarmasin,1394,25,96,active,Banjarmasin,"2024-12-20 18:40:54","2024-12-20 18:40:54",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1311,22,5,active,Tangerang North,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1312,22,6,active,Tangerang South,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1313,22,71,active,Bogor Kabupaten East,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1314,22,72,active,Karawang,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1315,22,74,active,Cirebon - Kuningan,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1316,22,75,active,Bogor Kabupaten West,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1317,22,13,active,Bogor,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1318,22,15,active,Depok,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1319,22,627,active,Tangerang Rural,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1320,22,179,active,Karawang North,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1321,22,628,active,Tangerang Rural New,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1322,22,119,active,Cirebon Kabupaten South,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
Halodoc - B2B - Jabodetabek,1323,22,120,active,Cirebon Kabupaten North,"2024-07-07 10:01:50","2024-07-07 10:01:50",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
