"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
1,1,1,active,Jakarta South,"2022-10-11 15:52:38","2022-10-11 15:52:38",Dev Token,Dev Token
2,1,5,active,Tangerang North,"2022-11-07 18:39:16","2023-05-15 18:54:40",Dev Token,roy.haryanto
3,1,6,active,Tangerang South,"2022-11-07 18:39:16","2022-11-08 09:22:06",Dev Token,Dev Token
4,1,2,active,Jakarta Central,"2022-11-07 18:39:16","2022-11-08 09:22:06",Dev Token,Dev Token
5,1,3,active,Jakarta West,"2022-11-07 18:39:16","2022-11-08 09:22:06",Dev Token,Dev Token
6,1,4,active,Jakarta East,"2022-11-07 18:39:16","2022-11-08 09:22:06",Dev Token,Dev Token
7,1,25,active,Jakarta North,"2022-11-11 17:37:34","2022-11-11 17:37:34",Dev Token,Dev Token
8,1,11,active,Bekasi,"2022-11-11 17:37:34","2022-11-11 17:37:34",Dev Token,Dev Token
9,1,13,active,Bogor,"2022-11-11 17:37:34","2022-11-11 17:37:34",Dev Token,Dev Token
10,1,15,active,Depok,"2022-11-11 17:37:34","2022-11-11 17:37:34",Dev Token,Dev Token
11,2,22,inactive,Surabaya West,"2022-11-16 14:14:51","2025-02-14 11:12:47",Dev Token,wiwin.dwiutami.hakim
12,2,23,active,Surabaya North,"2022-11-16 14:14:51","2022-11-16 14:14:51",Dev Token,Dev Token
13,2,24,inactive,Surabaya South,"2022-11-16 14:14:51","2025-02-14 11:12:47",Dev Token,wiwin.dwiutami.hakim
14,2,191,inactive,Surabaya East,"2022-11-16 14:14:51","2025-02-14 11:12:47",Dev Token,wiwin.dwiutami.hakim
15,1,65,active,Tangerang Rural,"2023-01-04 16:20:33","2023-01-04 16:20:33",roy.haryanto,roy.haryanto
16,3,5,inactive,Tangerang North,"2023-08-09 13:10:11","2024-02-22 11:36:48",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
17,3,6,inactive,Tangerang South,"2023-08-09 13:10:11","2024-02-22 11:36:48",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
18,3,65,inactive,Tangerang Rural,"2023-08-09 13:10:11","2024-02-22 11:36:48",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
19,4,25,inactive,Jakarta North,"2023-08-09 18:10:31","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
20,4,1,active,Jakarta South,"2023-08-09 18:10:31","2024-07-05 09:44:14",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
21,4,3,active,Jakarta West,"2023-08-09 18:10:31","2024-07-05 09:44:14",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
22,4,4,active,Jakarta East,"2023-08-09 18:10:31","2024-07-05 09:44:14",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
23,1,73,active,Bekasi Kabupaten North,"2024-01-25 14:28:11","2024-01-25 14:28:11",audhy.prabowo,audhy.prabowo
24,1,123,active,Bekasi Kabupaten South,"2024-01-25 14:28:11","2024-01-25 14:28:11",audhy.prabowo,audhy.prabowo
25,3,251,inactive,Bandung West,"2024-02-22 11:36:48","2024-12-26 09:38:24",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
26,3,66,inactive,Bandung East,"2024-02-22 11:36:48","2024-12-18 15:07:54",wiwin.dwiutami.hakim,m.safwan.aji
27,3,18,inactive,Bandung North,"2024-02-22 11:36:48","2024-12-26 09:38:24",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
28,3,19,inactive,Bandung South,"2024-02-22 11:36:48","2024-12-24 15:43:52",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
29,5,1,active,Jakarta South,"2024-03-15 05:31:09","2024-03-15 05:31:09",audhy.prabowo,audhy.prabowo
30,6,2,active,Jakarta Central,"2024-03-15 05:32:47","2024-03-15 05:32:47",audhy.prabowo,audhy.prabowo
